estado,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2024/13,2024/14,2024/15,2024/16,2024/17,2024/18,2024/19,2024/20,2024/21,2024/22,2024/23,2024/24,2024/25,2024/26,2024/27,2024/28,2024/29,2024/30,2024/31,2024/32,2024/33,2024/34,2024/35,2024/36,2024/37,2024/38,2024/39,2024/40,2024/41,2024/42,2024/43,2024/44,2024/45,2024/46,2024/47,2024/48,2024/49,2024/50,2024/51,2024/52,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2025/13,2025/14,2025/15,2025/16,2025/17,2025/18,2025/19,2025/20
AC,662,497,463,356,255,187,139,141,123,121,116,74,92,78,80,94,72,62,51,30,34,38,21,22,20,23,23,21,21,15,24,26,21,18,17,19,29,29,36,64,68,69,88,93,87,136,177,185,252,360,403,198,496,523,513,612,649,651,584,626,535,355,380,406,290,237,181,218,207,198,253,363
AL,65,59,60,68,117,143,252,503,559,511,522,552,433,478,567,531,509,537,530,592,541,554,590,715,719,596,728,780,653,632,461,424,396,306,299,246,236,236,177,152,134,117,98,99,88,72,68,51,56,53,53,36,63,71,57,44,57,78,83,84,68,66,80,105,176,150,134,147,223,165,140,95
AM,506,466,606,377,399,481,462,444,417,376,332,234,149,214,166,148,103,98,90,73,79,59,56,48,43,61,71,65,70,57,61,67,63,69,93,86,109,74,65,64,85,78,92,118,94,75,136,93,145,126,99,56,154,161,174,197,190,180,212,205,172,217,275,211,270,288,245,208,209,176,191,140
AP,140,210,217,197,337,379,523,592,670,568,359,340,365,410,320,305,209,200,176,190,158,165,203,200,206,186,290,253,266,229,298,217,200,181,130,113,101,108,94,97,74,70,52,53,28,47,30,21,23,19,18,7,44,92,84,108,140,127,136,142,102,74,69,66,61,54,41,54,34,27,23,6
BA,656,783,1015,1468,2687,3902,5673,10311,13992,15546,17439,18612,16980,19549,17721,15739,12402,10913,9667,7493,5749,3824,2931,2227,1561,1363,1262,1116,965,746,687,599,540,468,408,387,396,340,325,244,280,300,290,305,332,307,365,404,423,430,404,219,474,564,673,878,783,974,1068,1100,921,971,1174,1189,1209,1242,1165,966,1336,1095,1006,764
CE,66,74,102,142,178,176,203,282,405,447,433,459,474,752,845,777,641,652,511,447,402,342,356,372,297,239,282,230,179,139,167,182,144,122,90,91,94,81,83,52,61,65,54,35,45,45,79,60,47,35,38,8,23,50,67,65,68,71,83,93,72,102,165,204,245,318,303,334,404,515,571,503
DF,8232,8502,12759,18867,22124,21655,21443,23123,21757,19022,17135,15291,10206,10447,9485,7331,5512,4332,3580,3126,2758,1955,1339,851,567,286,328,283,208,212,241,229,250,220,184,175,187,173,197,181,168,155,202,239,334,316,472,359,403,336,298,143,291,329,286,322,358,439,409,438,364,361,396,362,342,301,266,271,346,335,395,325
ES,1146,1415,2007,2466,3459,4304,6142,8514,10626,11199,11689,10721,8309,8590,7228,6557,5359,4566,4656,4067,3238,2179,1722,1954,1694,1440,1258,979,890,811,668,604,547,542,499,505,435,456,470,509,442,581,663,610,811,855,1210,1418,1630,1833,2153,1894,1699,1874,1928,2016,1914,1514,1302,1410,963,858,958,948,906,895,899,953,1058,894,1172,1246
GO,3527,3898,5140,7910,11660,13188,14999,17267,17801,17399,18424,17810,14491,17710,18162,18201,16493,15880,14183,11539,9013,6214,5237,4414,3268,2531,2324,1656,1301,1220,1263,983,940,851,735,747,749,666,569,578,642,644,775,889,991,1139,1489,1508,1748,1592,1351,657,1703,2456,2491,3161,3622,3849,4025,3850,3367,3285,3685,3547,3660,3841,3626,3602,4343,4107,4027,2433
MA,63,87,88,82,130,222,408,621,760,826,959,1098,768,864,800,689,470,404,341,245,222,142,113,104,108,67,52,47,29,35,31,36,27,27,32,23,27,27,19,19,16,23,19,32,22,30,31,26,28,33,14,11,28,53,75,97,130,178,206,349,224,228,323,379,356,367,282,201,286,307,266,88
MG,16964,21901,33499,50520,69595,83710,96798,120058,126397,127009,128150,130964,99486,102507,93993,73924,58601,53564,44405,34325,25889,15098,10355,7541,5293,3739,2813,1969,1606,1094,1021,848,801,914,714,819,781,873,855,891,849,846,1016,1119,1345,1527,1990,2221,2462,2603,2229,1005,2631,3697,4901,6273,6681,7416,8294,9198,7743,8093,9413,9557,9550,9406,8694,7364,9019,7718,7104,4331
MS,200,268,390,475,453,563,815,817,865,1018,1186,1183,1007,1073,1158,948,925,965,1034,872,499,276,235,326,242,139,83,46,37,43,51,28,27,30,24,16,23,40,36,34,37,36,30,38,39,32,40,40,42,73,59,35,135,198,261,268,334,350,408,435,487,590,636,811,795,717,777,794,1034,1020,1163,1131
MT,554,614,873,1028,1294,1501,1644,1903,1795,1551,1670,1633,1329,1856,1825,2056,2025,2322,2269,1805,1419,814,984,847,833,574,578,388,261,299,280,217,159,146,140,145,111,137,75,95,81,81,95,110,128,168,220,270,416,492,577,344,1011,1572,2038,2183,1967,1782,1761,1636,1117,1142,1123,1036,1106,1148,1276,1115,1319,1132,1276,1099
PA,187,241,325,394,611,683,1060,1135,1217,1146,1164,1122,945,1069,877,853,675,553,530,434,351,271,337,338,288,272,256,238,211,191,199,196,157,195,163,138,165,173,134,128,85,109,120,128,146,159,201,148,180,196,176,83,302,485,666,671,740,862,944,788,683,689,712,753,678,660,589,547,718,559,501,336
PB,54,93,98,91,144,156,303,630,865,996,957,1006,686,819,715,649,448,369,384,360,300,223,242,257,183,193,235,188,210,190,201,215,206,159,158,154,133,122,108,104,118,122,140,129,117,114,130,115,122,130,99,72,87,96,111,159,165,206,298,360,161,164,214,200,199,220,249,277,304,235,260,222
PE,78,58,83,113,166,237,426,754,995,1159,1191,1196,903,1205,1053,1154,910,846,785,768,768,825,866,789,647,685,784,582,616,501,365,372,352,304,240,282,285,287,236,213,216,228,240,231,229,217,248,258,213,227,249,97,201,228,214,233,265,342,357,440,308,345,526,592,675,864,892,843,859,649,548,350
PI,88,137,109,123,213,345,461,700,679,819,873,788,635,823,748,745,684,552,598,667,620,496,532,436,320,204,201,187,189,155,118,102,78,79,68,54,42,31,26,40,37,42,37,25,35,36,30,45,22,36,19,11,40,71,104,128,145,177,235,239,235,264,273,365,330,390,366,301,370,293,284,195
PR,5445,7036,9657,11740,12086,15127,20347,24529,26562,32683,38080,43672,42292,46102,45053,44323,34781,37205,39567,33185,21151,12256,7645,8227,6698,4213,2645,1312,1037,1098,857,667,494,493,373,464,508,451,490,477,425,486,522,591,538,587,704,700,711,757,740,518,1106,1370,1625,2000,2211,2433,3567,4666,5165,6160,7267,8075,8790,9490,8521,6943,7838,7030,7645,6836
RJ,4228,4798,6984,8984,11846,16710,22734,27102,26603,24456,22524,18475,12641,14846,12493,10102,8124,7896,7198,5813,4957,2914,2590,2109,1726,1414,1164,848,866,736,663,541,464,498,429,513,583,420,392,359,355,328,398,377,416,329,299,374,380,407,292,151,557,699,737,930,1225,1774,2090,1737,1199,1326,1355,1407,1422,1477,1505,1203,1334,1205,1324,1207
RN,118,120,143,131,155,213,391,748,924,1176,1276,1141,877,994,889,781,627,496,488,393,336,257,233,224,219,279,310,263,269,200,225,218,187,147,135,136,122,133,122,89,125,115,102,134,116,98,92,110,108,120,122,53,64,89,103,122,124,130,153,167,168,158,252,242,268,366,393,333,477,464,486,288
RO,89,96,157,168,184,229,284,543,544,594,461,355,159,205,135,154,129,77,69,55,31,27,32,33,34,25,28,21,21,19,23,22,14,20,15,6,16,10,8,4,7,11,8,12,10,18,14,16,24,18,22,2,33,30,33,61,109,133,70,57,111,161,283,391,310,170,92,127,147,125,95,56
RR,3,6,5,15,7,6,22,16,7,15,18,9,6,12,6,14,10,9,11,22,35,33,37,46,31,29,23,25,14,17,13,28,17,12,21,10,8,9,14,9,13,4,4,6,7,4,2,4,4,4,3,1,4,5,6,5,10,6,12,5,11,10,12,9,7,15,16,23,23,29,27,31
RS,349,467,789,1251,1685,2695,4466,5803,7244,10074,12045,14367,15562,18724,21120,21474,18840,15850,14218,14458,4223,3643,2215,2786,2796,1646,824,347,310,275,247,158,137,124,112,133,134,103,125,114,96,118,113,128,134,114,90,141,123,86,97,47,129,165,177,216,223,271,387,649,825,1159,2156,2793,4939,7225,7305,7426,9459,8311,8606,8570
SC,529,708,1114,1456,2183,3863,6504,9661,12523,14705,17812,24642,25716,28224,30270,29614,25324,21981,23147,20156,9966,6198,4454,4266,3461,2129,1176,586,401,446,371,272,200,189,85,74,78,84,98,99,109,111,121,131,134,157,140,144,244,333,252,211,329,345,328,386,357,371,404,535,607,787,1095,1289,1420,1925,1991,1904,2393,2583,2812,3038
SE,18,26,16,16,27,23,51,96,97,78,87,66,69,103,73,61,68,50,49,47,45,52,69,65,42,40,38,49,41,37,36,25,24,37,18,24,19,11,10,23,11,15,10,8,13,3,5,10,7,6,3,2,10,8,6,9,11,13,13,9,11,6,15,27,31,42,39,49,72,66,67,53
SP,7207,9072,13377,19149,23087,31277,43734,55093,69459,82760,98654,129646,122536,138549,153934,146806,140082,145041,156246,145856,108817,68882,44498,40944,33240,22412,14531,9876,7438,6257,5291,4272,3679,3263,2826,3065,3022,2876,2902,2862,2612,2943,2882,3171,3163,3608,4494,5127,6526,8279,8296,5403,18750,22956,26571,31812,35674,34887,40206,44659,46750,52521,56646,58026,52896,50215,44678,36683,38073,31220,27630,19486
TO,33,49,55,57,100,106,112,144,210,226,234,265,230,241,297,313,245,216,184,186,147,119,70,59,51,39,32,12,13,9,17,8,9,7,13,6,12,13,4,5,6,7,12,6,14,9,21,16,19,23,18,5,30,60,59,95,79,88,154,130,91,95,99,105,88,153,161,238,292,341,343,425
